SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
2439/99,"Business, research and administrative professionals n.e.c.",A
2439/99,"Business, research and administrative professionals n.e.c.",A
2439/99,"Business, research and administrative professionals n.e.c.",A1
4111/01,National government benefits officers,A1
4111/99,National government administrative occupations n.e.c.,A1
2439/99,"Business, research and administrative professionals n.e.c.",A2
4111/01,National government benefits officers,A2
4111/99,National government administrative occupations n.e.c.,A2
3560/99,Public services associate professionals n.e.c.,A3
4111/01,National government benefits officers,A3
4111/99,National government administrative occupations n.e.c.,A3
4111/99,National government administrative occupations n.e.c.,A3
4111/01,National government benefits officers,A4
4111/99,National government administrative occupations n.e.c.,A4
4111/01,National government benefits officers,A5
4111/01,National government benefits officers,A6
4111/01,National government benefits officers,A7
4111/99,National government administrative occupations n.e.c.,AA
3311/99,Non-commissioned officers and other ranks n.e.c.,AB
8232/00,Marine and waterways transport operatives,AB
6132/00,Ambulance staff (excluding paramedics),ACA
2435/00,Professional/chartered company secretaries,ACG
2435/00,Professional/chartered company secretaries,ACIS
1112/01,Assembly members and Members of Parliament,AM
4111/99,National government administrative occupations n.e.c.,AO
4112/99,Local government administrative occupations n.e.c.,AP(T)
3560/99,Public services associate professionals n.e.c.,AP(T)
8133/99,Energy plant operatives n.e.c.,APA
2463/00,Clergy,Abbot
5319/04,Industrial climbers,Abseiler
4135/00,Library clerks and assistants,Abstractor
2311/00,Higher education teaching professionals,Academic
3415/03,Instrumentalists ,Accompanist
2421/02,Financial accountants (qualified),Bank accountant
4122/01,Accounting clerks and bookkeepers ,Barrack accountant
4122/01,Accounting clerks and bookkeepers ,Barracks accountant
2421/02,Financial accountants (qualified),Borough accountant
2421/02,Financial accountants (qualified),Branch accountant
2421/02,Financial accountants (qualified),Certified accountant
2421/02,Financial accountants (qualified),Chartered accountant
2421/02,Financial accountants (qualified),Group chief accountant
2421/02,Financial accountants (qualified),Chief accountant
2421/02,Financial accountants (qualified),Company accountant
2421/02,Financial accountants (qualified),Cost accountant
4122/01,Accounting clerks and bookkeepers ,Cost accountant
2421/02,Financial accountants (qualified),Cost and management accountant
2421/02,Financial accountants (qualified),Cost and works accountant
4122/01,Accounting clerks and bookkeepers ,Cost and works accountant
2421/02,Financial accountants (qualified),District accountant
2421/02,Financial accountants (qualified),Group financial accountant
2421/02,Financial accountants (qualified),Financial accountant
4122/01,Accounting clerks and bookkeepers ,Financial accountant
2421/03,Forensic accountants,Forensic accountant
2421/04,Fund accountants,Fund accountant
2421/02,Financial accountants (qualified),Group accountant
4122/01,Accounting clerks and bookkeepers ,Group accountant
2421/02,Financial accountants (qualified),Incorporated accountant
2421/02,Financial accountants (qualified),Chartered management accountant
2421/02,Financial accountants (qualified),Management accountant
4122/01,Accounting clerks and bookkeepers ,Management accountant
2421/02,Financial accountants (qualified),Principal accountant
2421/02,Financial accountants (qualified),Project accountant
4122/01,Accounting clerks and bookkeepers ,Project accountant
2133/99,"IT business analysts, architects and systems designers n.e.c.",Systems accountant
2423/00,Taxation experts,Tax accountant
2423/00,Taxation experts,Taxation accountant
2421/02,Financial accountants (qualified),Treasury accountant
6211/01,Bookmakers,Turf accountant
2421/02,Financial accountants (qualified),Works accountant
4122/01,Accounting clerks and bookkeepers ,Works accountant
2421/02,Financial accountants (qualified),Accountant
2421/02,Financial accountants (qualified),Accountant
2421/02,Financial accountants (qualified),Accountant
2421/02,Financial accountants (qualified),Accountant
4122/01,Accounting clerks and bookkeepers ,Accountant
4122/01,Accounting clerks and bookkeepers ,Accountant and auditor
2419/99,Legal professionals n.e.c.,Accountant of court
2421/02,Financial accountants (qualified),Accountant-secretary
2482/01,Compliance and regulatory professionals,Accreditor
9223/01,Commercial cleaners,Asda ace
9139/00,Elementary process plant occupations n.e.c.,Acetoner
8113/00,Chemical and related process operatives,Acidifier
2129/01,Acoustic engineers ,Acoustician
5319/99,Construction and building trades n.e.c.,Acoustician
3413/99,"Actors, entertainers and presenters n.e.c.",Acrobat
3413/01,Actors,Actor
3413/01,Actors,Actor-manager
3413/01,Actors,Actress
2433/01,Actuaries and actuarial analysts ,Actuary
2212/99,Specialist medical practitioners n.e.c.,Medical acupuncturist
2229/01,Acupuncturists,Acupuncturist
3541/03,Loss adjusters,Claims adjudicator
2419/99,Legal professionals n.e.c.,Parking adjudicator
2482/01,Compliance and regulatory professionals,Adjudicator
3520/99,Legal associate professionals n.e.c.,Adjudicator
2419/99,Legal professionals n.e.c.,Adjudicator
3541/03,Loss adjusters,Adjudicator
3541/03,Loss adjusters,Average adjuster
5223/99,Metal working production and maintenance fitters n.e.c.,Brake adjuster
3541/03,Loss adjusters,Insurance claims adjuster
3541/03,Loss adjusters,Claims adjuster
5224/01,Calibration and precision instrument technicians,Compass adjuster
8131/00,Paper and wood machine operatives,Envelope adjuster
8139/99,Plant and machine operatives n.e.c.,Lift adjuster
3541/03,Loss adjusters,Loss adjuster
8131/00,Paper and wood machine operatives,Machine adjuster
5223/11,Textile machine technicians,Machine adjuster
5249/01,Broadcast and communications technicians,Relay adjuster
5223/99,Metal working production and maintenance fitters n.e.c.,Set spring adjuster
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Unit adjuster
8139/99,Plant and machine operatives n.e.c.,Weight adjuster
5224/01,Calibration and precision instrument technicians,Adjuster
5223/99,Metal working production and maintenance fitters n.e.c.,Adjuster
8143/00,Routine inspectors and testers,Adjuster
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Adjuster
5224/03,"Horologists, watch makers and repairers",Adjuster
5223/99,Metal working production and maintenance fitters n.e.c.,Adjuster
1161/99,Officers in armed forces n.e.c.,Adjutant
1161/99,Officers in armed forces n.e.c.,Adjutant-general
4129/99,Finance administrative occupations n.e.c.,Account administrator
4122/01,Accounting clerks and bookkeepers ,Accounts administrator
3560/02,Health service administrators,Mental health act administrator
2439/99,"Business, research and administrative professionals n.e.c.",Arts administrator
4159/01,Business administrators,Bank administrator
4123/01,Bank and building society clerks,Banking administrator
4122/01,Accounting clerks and bookkeepers ,Billing administrator
4129/99,Finance administrative occupations n.e.c.,Bonus administrator
4159/01,Business administrators,Business administrator
4131/07,Purchasing administrators,Buying administrator
4111/99,National government administrative occupations n.e.c.,Case administrator
4159/01,Business administrators,Catering administrator
4159/01,Business administrators,Test centre administrator
4113/01,Charity administrators,Charity administrator
4159/02,Church administrators,Church administrator
3229/99,Welfare and housing associate professionals n.e.c.,Circuit administrator
4132/01,Claims handlers,Claim administrator
4132/01,Claims handlers,Claims administrator
4129/99,Finance administrative occupations n.e.c.,Claims administrator
4159/01,Business administrators,Clerical administrator
4211/00,Medical secretaries,Clinic administrator
4211/00,Medical secretaries,Clinical administrator
2329/02,Educational administrators,College administrator
4159/01,Business administrators,Commercial administrator
3549/99,Business associate professionals n.e.c.,Committee administrator
4214/00,Company secretaries and administrators,Company administrator
4131/99,Records clerks and assistants n.e.c.,Compliance administrator
3131/02,Network and systems administrators,Computer administrator
4131/99,Records clerks and assistants n.e.c.,Conference administrator
4131/99,Records clerks and assistants n.e.c.,Contract administrator
3551/00,Buyers and procurement officers,Purchasing contracts administrator
4151/00,Sales administrators,Sales contracts administrator
4131/99,Records clerks and assistants n.e.c.,Contracts administrator
4121/00,Credit controllers,Credit control administrator
4131/99,Records clerks and assistants n.e.c.,Conveyancing administrator
4129/99,Finance administrative occupations n.e.c.,Cost administrator
4136/02,Training administrators,Course administrator
4131/02,Court officers,Court administrator
4131/02,Court officers,Courts administrator
4113/99,Officers of non-governmental organisations n.e.c.,Covenant administrator
4121/00,Credit controllers,Credit administrator
4113/99,Officers of non-governmental organisations n.e.c.,Curriculum administrator
4152/00,Data entry administrators,Data administrator
3133/01,Database administrators,Database administrator
4159/01,Business administrators,Dental administrator
3132/00,IT user support technicians,Help desk administrator
3131/02,Network and systems administrators,Digital administrator
4134/00,Transport and distribution clerks and assistants,Distribution administrator
3552/00,Business sales executives,E-commerce administrator
2329/02,Educational administrators,Education administrator
4136/02,Training administrators,Education administrator
4112/99,Local government administrative occupations n.e.c.,Electoral administrator
4159/01,Business administrators,Engineering administrator
4152/00,Data entry administrators,Data entry administrator
4131/99,Records clerks and assistants n.e.c.,Events administrator
4131/04,Examinations officers,Examinations administrator
4131/04,Examinations officers,Exams administrator
4131/06,Medical administrators and appointment clerks,Patient experience administrator
4131/07,Purchasing administrators,Export administrator
4159/03,Facilities coordinators,Facilities administrator
4113/99,Officers of non-governmental organisations n.e.c.,Faculty administrator
4159/01,Business administrators,Farm administrator
4129/99,Finance administrative occupations n.e.c.,Finance administrator
4129/99,Finance administrative occupations n.e.c.,Financial administrator
4134/00,Transport and distribution clerks and assistants,Car fleet administrator
4134/00,Transport and distribution clerks and assistants,Fleet administrator
4134/00,Transport and distribution clerks and assistants,Freight administrator
3533/99,Financial and accounting technicians n.e.c.,Fund administrator
4113/99,Officers of non-governmental organisations n.e.c.,Fundraising administrator
6138/99,"Undertakers, mortuary and crematorium assistants n.e.c.",Funeral administrator
4129/02,Grants officers,Grants administrator
3133/99,Database administrators and web content technicians n.e.c.,Hadoop administrator
4159/01,Business administrators,Health and safety administrator
3132/00,IT user support technicians,Helpdesk administrator
4131/99,Records clerks and assistants n.e.c.,Hire administrator
4122/01,Accounting clerks and bookkeepers ,Fund holding administrator
4159/01,Business administrators,Care home administrator
4159/01,Business administrators,Home administrator
3560/02,Health service administrators,Hospital administrator
4159/01,Business administrators,Housing administrator
4136/99,Human resources administrative occupations n.e.c.,HR administrator
2421/05,Insolvency practitoners,Insolvency administrator
3533/99,Financial and accounting technicians n.e.c.,Insolvency administrator
4132/02,Insurance administrators,Insurance administrator
3133/99,Database administrators and web content technicians n.e.c.,Internet administrator
4133/00,Stock control clerks and assistants,Inventory administrator
3531/99,Brokers n.e.c.,Investment administrator
3131/02,Network and systems administrators,IT administrator
4142/00,Office supervisors,Lead administrator
4122/01,Accounting clerks and bookkeepers ,Purchase ledger administrator
4122/01,Accounting clerks and bookkeepers ,Ledger administrator
4212/00,Legal secretaries ,Legal administrator
4131/99,Records clerks and assistants n.e.c.,Letter administrator
4131/99,Records clerks and assistants n.e.c.,Lettings administrator
4132/02,Insurance administrators,Life administrator
4121/00,Credit controllers,Loans administrator
4134/00,Transport and distribution clerks and assistants,Logistics administrator
4159/01,Business administrators,Maintenance administrator
4112/99,Local government administrative occupations n.e.c.,Mappa administrator
4151/00,Sales administrators,Marketing administrator
4211/00,Medical secretaries,Medical administrator
4113/99,Officers of non-governmental organisations n.e.c.,Membership administrator
4129/03,Mortgage administrators,Mortgage administrator
3131/02,Network and systems administrators,Network administrator
4159/01,Business administrators,Nhs administrator
4159/01,Business administrators,Nursery administrator
4129/99,Finance administrative occupations n.e.c.,Cash office administrator
4151/00,Sales administrators,Sales office administrator
4213/00,School secretaries,School office administrator
4113/99,Officers of non-governmental organisations n.e.c.,Office administrator
4213/00,School secretaries,Office administrator
4159/01,Business administrators,Office administrator
4151/00,Sales administrators,Sales order administrator
4159/02,Church administrators,Parish administrator
4133/00,Stock control clerks and assistants,Parts administrator
4131/06,Medical administrators and appointment clerks,Patient administrator
4122/02,Payroll officers and wages clerks,Pay administrator
4122/01,Accounting clerks and bookkeepers ,Accounts payable administrator
4122/02,Payroll officers and wages clerks,Payroll administrator
4132/03,Pensions administrators,Pension administrator
4132/03,Pensions administrators,Pensions administrator
4136/99,Human resources administrative occupations n.e.c.,People administrator
4136/99,Human resources administrative occupations n.e.c.,Personnel administrator
4159/01,Business administrators,Planning administrator
3543/00,Project support officers,Pmo administrator
4131/06,Medical administrators and appointment clerks,Practice administrator
4131/06,Medical administrators and appointment clerks,Prescription administrator
4131/07,Purchasing administrators,Procurement administrator
4133/00,Stock control clerks and assistants,Production administrator
3543/00,Project support officers,Project administrator
4159/05,Property administrators,Property administrator
4131/07,Purchasing administrators,Purchase administrator
4131/07,Purchasing administrators,Purchasing administrator
4159/01,Business administrators,Qa administrator
4159/01,Business administrators,Quality administrator
4131/06,Medical administrators and appointment clerks,Medical records administrator
4136/01,Recruitment administrators,Recruitment administrator
2439/99,"Business, research and administrative professionals n.e.c.",Senior registration administrator
4136/99,Human resources administrative occupations n.e.c.,Human resources administrator
4151/00,Sales administrators,Retail administrator
4151/00,Sales administrators,Export sales administrator
4151/00,Sales administrators,Sales administrator
4151/00,Sales administrators,Sales and accounts administrator
4151/00,Sales administrators,Sales and marketing administrator
4213/00,School secretaries,School administrator
4129/99,Finance administrative occupations n.e.c.,Client service administrator
7219/99,Customer service occupations n.e.c.,Customer service administrator
4159/01,Business administrators,Service administrator
4129/99,Finance administrative occupations n.e.c.,Client services administrator
7219/99,Customer service occupations n.e.c.,Customer services administrator
4129/99,Finance administrative occupations n.e.c.,Financial services administrator
4134/00,Transport and distribution clerks and assistants,Fleet services administrator
4136/99,Human resources administrative occupations n.e.c.,HR services administrator
4159/01,Business administrators,Services administrator
4134/00,Transport and distribution clerks and assistants,Shipping administrator
4132/03,Pensions administrators,Sipp administrator
4133/00,Stock control clerks and assistants,Stock administrator
4133/00,Stock control clerks and assistants,Stores administrator
4159/01,Business administrators,Business support administrator
7219/99,Customer service occupations n.e.c.,Customer support administrator
4151/00,Sales administrators,Sales support administrator
4211/00,Medical secretaries,Gp surgery administrator
4132/02,Insurance administrators,Surrenders administrator
3531/99,Brokers n.e.c.,Swaps administrator
3133/99,Database administrators and web content technicians n.e.c.,Hadoop system administrator
3131/02,Network and systems administrators,System administrator
3133/99,Database administrators and web content technicians n.e.c.,Hadoop systems administrator
3131/02,Network and systems administrators,IT systems administrator
3131/02,Network and systems administrators,Unix systems administrator
3131/02,Network and systems administrators,Systems administrator
4131/99,Records clerks and assistants n.e.c.,Technical administrator
4136/02,Training administrators,Training administrator
4134/00,Transport and distribution clerks and assistants,Transport administrator
6212/00,Travel agents,Travel administrator
3549/05,Clinical trials administrators,Clinical trial administrator
3549/05,Clinical trials administrators,Clinical trials administrator
3533/99,Financial and accounting technicians n.e.c.,Trust administrator
2329/02,Educational administrators,University administrator
4122/02,Payroll officers and wages clerks,Wages administrator
4131/06,Medical administrators and appointment clerks,Ward administrator
4133/00,Stock control clerks and assistants,Warehouse administrator
4159/06,Warranty administrators,Warranty administrator
3133/99,Database administrators and web content technicians n.e.c.,Website administrator
4159/01,Business administrators,Workshop administrator
4129/99,Finance administrative occupations n.e.c.,Wrap administrator
4113/01,Charity administrators,Administrator
4151/00,Sales administrators,Administrator
4111/99,National government administrative occupations n.e.c.,Administrator
4129/99,Finance administrative occupations n.e.c.,Administrator
4111/99,National government administrative occupations n.e.c.,Administrator
4113/99,Officers of non-governmental organisations n.e.c.,Administrator
2329/02,Educational administrators,Administrator
3560/02,Health service administrators,Administrator
4136/99,Human resources administrative occupations n.e.c.,Administrator
4132/02,Insurance administrators,Administrator
4212/00,Legal secretaries ,Administrator
3120/99,"CAD, drawing and architectural technicians n.e.c.",Administrator
4112/99,Local government administrative occupations n.e.c.,Administrator
4112/99,Local government administrative occupations n.e.c.,Administrator
4136/01,Recruitment administrators,Administrator
4213/00,School secretaries,Administrator
4113/99,Officers of non-governmental organisations n.e.c.,Administrator
4136/02,Training administrators,Administrator
4159/01,Business administrators,Administrator
4159/01,Business administrators,Administrator-receptionist
4215/99,Personal assistants and other secretaries n.e.c.,Administrator-secretary
1161/04,Royal Navy officers,Admiral
1161/04,Royal Navy officers,Admiral of the fleet
3554/01,Advertising and marketing executives,Advertiser
2323/01,Educational advisers ,Academic adviser
3229/99,Welfare and housing associate professionals n.e.c.,Citizens advice adviser
3113/01,Aerospace technicians,Aeronautical adviser
2112/01,Agricultural scientists,Agricultural adviser
3416/01,Art consultants,Art adviser
3416/01,Art consultants,Arts adviser
3549/99,Business associate professionals n.e.c.,Ballot adviser
4123/01,Bank and building society clerks,Bank adviser
4123/01,Bank and building society clerks,Telephone banking adviser
4123/01,Bank and building society clerks,Banking adviser
6222/99,Beauticians and related occupations n.e.c.,Beauty adviser
4112/01,Local government benefits officers,Benefit adviser
4111/01,National government benefits officers,Benefits adviser
4112/01,Local government benefits officers,Benefits adviser
3229/99,Welfare and housing associate professionals n.e.c.,Benefits adviser
4123/01,Bank and building society clerks,Branch adviser
4123/01,Bank and building society clerks,Branch adviser
2431/02,Management advisers and consultants,Business adviser
3574/99,Other vocational and industrial trainers n.e.c.,Back care adviser
7219/99,Customer service occupations n.e.c.,Customer care adviser
4131/06,Medical administrators and appointment clerks,Patient care adviser
3572/01,Careers advisers and coaches,Career adviser
3572/01,Careers advisers and coaches,Careers adviser
5436/00,Catering and bar managers,Catering adviser
3549/99,Business associate professionals n.e.c.,Cellar adviser
7211/00,Call and contact centre occupations,Call centre adviser
7211/00,Call and contact centre occupations,Contact centre adviser
3229/05,Health advisers,Smoking cessation adviser
4132/01,Claims handlers,Claim adviser
4111/01,National government benefits officers,Claimant adviser
4132/01,Claims handlers,Personal claims adviser
4111/01,National government benefits officers,Claims adviser
4132/01,Claims handlers,Claims adviser
7122/02,Debt collectors,Collections advisor
7211/00,Call and contact centre occupations,Communications adviser
2439/99,"Business, research and administrative professionals n.e.c.",Conflict adviser
2151/01,Conservationists ,Conservation adviser
3581/09,Trading standards officers,Consumer adviser
7219/99,Customer service occupations n.e.c.,Consumer adviser
3549/03,Contract administrators,Contract adviser
2151/01,Conservationists ,Countryside adviser
7219/01,Student ambassadors,Course adviser
2469/02,Children and family services professionals,Family court adviser
2323/01,Educational advisers ,Curriculum adviser
7112/00,Retail cashiers and check-out operators,Customer adviser
9241/00,Shelf fillers,Customer adviser
7211/00,Call and contact centre occupations,Customer adviser
4123/01,Bank and building society clerks,Customer adviser
4123/01,Bank and building society clerks,Customer adviser
4129/99,Finance administrative occupations n.e.c.,Customer adviser
4132/02,Insurance administrators,Customer adviser
7211/00,Call and contact centre occupations,Customer adviser
7111/00,Sales and retail and assistants,Customer adviser
7219/99,Customer service occupations n.e.c.,Customer adviser
4111/99,National government administrative occupations n.e.c.,New deal adviser
3224/02,Debt advisers,Debt adviser
2323/01,Educational advisers ,Curriculum development adviser
3574/01,Business coaches,Employee development adviser
2431/02,Management advisers and consultants,Management development adviser
3574/99,Other vocational and industrial trainers n.e.c.,Training development adviser
3219/02,Dietetic assistants,Diet adviser
4121/00,Credit controllers,Financial difficulties adviser
3229/99,Welfare and housing associate professionals n.e.c.,Disability adviser
3571/01,Equality and diversity officers,Diversity and equality adviser
2433/02,Economists,Economic adviser
2323/01,Educational advisers ,Education adviser
2323/01,Educational advisers ,Educational adviser
3582/03,Occupational health and safety managers and officers,Ehs adviser
4111/01,National government benefits officers,Disability employment adviser
4111/01,National government benefits officers,Employment adviser
4112/01,Local government benefits officers,Employment adviser
3571/02,Human resources advisers,Employment adviser
3541/01,Energy advisers and assessors,Energy adviser
3582/03,Occupational health and safety managers and officers,Health and safety environmental adviser
2152/03,Environmental consultants ,Environmental adviser
3571/01,Equality and diversity officers,Equalities adviser
3571/01,Equality and diversity officers,Equality adviser
3571/01,Equality and diversity officers,Equality and diversity adviser
7211/00,Call and contact centre occupations,Customer experience adviser
7111/00,Sales and retail and assistants,Fashion adviser
3422/01,Clothing and fashion consultants,Fashion adviser
2422/02,Financial advisers and planners,Finance adviser
2422/02,Financial advisers and planners,Independent financial adviser
2422/02,Financial advisers and planners,Financial adviser
7211/00,Call and contact centre occupations,Fraud adviser
2114/01,Geologists,Geological adviser
7211/00,Call and contact centre occupations,111 health adviser
7211/00,Call and contact centre occupations,IUC health adviser
2469/99,Welfare professionals n.e.c.,Mental health adviser
2259/07,Occupational health advisers,Occupational health adviser
2259/04,Health promotion officers,Public health adviser
2237/00,Other registered nursing professionals,School health adviser
2259/11,Sexual health advisers,Sexual health adviser
7211/00,Call and contact centre occupations,Health adviser
3229/05,Health advisers,Health adviser
3582/03,Occupational health and safety managers and officers,Health and safety adviser
7114/02,Pharmacy dispensing assistants,Healthcare adviser
2129/08,Heating and ventilating engineers (professional),Heating adviser
5315/00,Plumbers and heating and ventilation installers and repairers,Heating adviser
2112/03,Botanical and horticultural scientists,Horticultural adviser
3223/00,Housing officers,Housing adviser
3571/02,Human resources advisers,HR adviser
3582/03,Occupational health and safety managers and officers,HSE adviser
3520/99,Legal associate professionals n.e.c.,Immigration adviser
2323/01,Educational advisers ,School improvement adviser
4132/02,Insurance administrators,Insurance adviser
2422/02,Financial advisers and planners,Investment adviser
3574/99,Other vocational and industrial trainers n.e.c.,Vocational learning adviser
3574/99,Other vocational and industrial trainers n.e.c.,Learning and development adviser
2419/99,Legal professionals n.e.c.,Court legal adviser
2419/99,Legal professionals n.e.c.,Data protection legal adviser
2419/99,Legal professionals n.e.c.,Legal adviser
7211/00,Call and contact centre occupations,Personal lines adviser
3412/99,"Authors, writers and translators n.e.c.",Literary adviser
3229/99,Welfare and housing associate professionals n.e.c.,Independent living adviser
2422/02,Financial advisers and planners,Financial loans adviser
7211/00,Call and contact centre occupations,Customer management adviser
4121/00,Credit controllers,Debt management adviser
2151/01,Conservationists ,Land management adviser
2422/02,Financial advisers and planners,Wealth management adviser
2431/02,Management advisers and consultants,Management adviser
3549/99,Business associate professionals n.e.c.,Marine adviser
3554/01,Advertising and marketing executives,Marketing adviser
7220/00,Customer service supervisors,Social media adviser
7213/02,Emergency services call handlers,Emergency medical adviser
2211/99,Generalist medical practitioners n.e.c.,Medical adviser
7129/99,Sales related occupations n.e.c.,Membership adviser
4129/99,Finance administrative occupations n.e.c.,Travel money adviser
2422/04,Mortgage advisers,Mortgage adviser
2422/04,Mortgage advisers,Mortgage and protection adviser
2259/07,Occupational health advisers,Occupational health nurse adviser
2237/00,Other registered nursing professionals,Nurse adviser
2259/07,Occupational health advisers,Occupational health and wellbeing adviser
7114/01,Optical dispensing assistants,Optical adviser
7115/01,Vehicle parts advisers ,Parts adviser
4122/02,Payroll officers and wages clerks,Payroll adviser
2422/02,Financial advisers and planners,Pension adviser
2422/02,Financial advisers and planners,Pensions adviser
3571/02,Human resources advisers,People advisor
4111/99,National government administrative occupations n.e.c.,New deal personal adviser
4123/01,Bank and building society clerks,Personal adviser
3572/01,Careers advisers and coaches,Personal adviser
4132/02,Insurance administrators,Personal adviser
4111/01,National government benefits officers,Personal adviser
3229/99,Welfare and housing associate professionals n.e.c.,Personal adviser
3571/02,Human resources advisers,Personnel adviser
7114/02,Pharmacy dispensing assistants,Pharmacy adviser
4123/01,Bank and building society clerks,Phonebank adviser
2452/02,Town planning officers,County planning adviser
2422/02,Financial advisers and planners,Financial planning adviser
3571/01,Equality and diversity officers,Equalities policy adviser
2439/01,Policy officers,Policy adviser
2439/01,Policy officers,Policy adviser
2439/99,"Business, research and administrative professionals n.e.c.",Political adviser
2112/01,Agricultural scientists,Poultry adviser
2493/02,Public relations officers,Pr adviser
2251/00,Pharmacists,Prescribing adviser
3313/99,Fire service officers (watch manager and below) n.e.c.,Fire prevention adviser
2125/03,Industrial and production engineers,Production adviser
3229/05,Health advisers,Health promotion adviser
2469/02,Children and family services professionals,Child protection adviser
2419/99,Legal professionals n.e.c.,Data protection adviser
2114/99,Physical scientists n.e.c.,Radiation protection adviser
3571/03,Recruitment consultants,Recruitment adviser
2482/01,Compliance and regulatory professionals,Regulatory adviser
7219/99,Customer service occupations n.e.c.,Customer relations adviser
3571/02,Human resources advisers,Employee relations adviser
3571/02,Human resources advisers,Industrial relations adviser
2493/02,Public relations officers,Public relations adviser
3581/99,Inspectors of standards and regulations n.e.c.,Race relations adviser
3571/02,Human resources advisers,Human resources adviser
7211/00,Call and contact centre occupations,Business retention adviser
7211/00,Call and contact centre occupations,Sales retention adviser
3229/99,Welfare and housing associate professionals n.e.c.,Welfare rights adviser
3582/02,Fire safety managers and officers,Fire safety adviser
3582/03,Occupational health and safety managers and officers,Safety adviser
7115/02,Vehicle sales executives ,Car sales adviser
6212/00,Travel agents,Holiday sales adviser
7129/99,Sales related occupations n.e.c.,Inbound sales adviser
7113/00,Telephone salespersons,Inbound sales adviser
7129/99,Sales related occupations n.e.c.,Insurance sales adviser
7113/00,Telephone salespersons,Media sales adviser
7114/01,Optical dispensing assistants,Optical sales adviser
3552/00,Business sales executives,Technical sales adviser
6212/00,Travel agents,Travel sales adviser
7115/02,Vehicle sales executives ,Vehicle sales adviser
7113/00,Telephone salespersons,Sales adviser
4123/01,Bank and building society clerks,Sales adviser
4123/01,Bank and building society clerks,Sales adviser
3555/01,Estate agents  ,Sales adviser
7129/99,Sales related occupations n.e.c.,Sales adviser
7115/02,Vehicle sales executives ,Sales adviser
7111/00,Sales and retail and assistants,Sales adviser
2119/99,Natural and social science professionals n.e.c.,Scientific adviser
4111/01,National government benefits officers,Social security adviser
3319/06,Security consultants and managers (excludes cyber security),Security adviser
4129/99,Finance administrative occupations n.e.c.,Client service adviser
4123/01,Bank and building society clerks,Customer service adviser
4123/01,Bank and building society clerks,Customer service adviser
7211/00,Call and contact centre occupations,Customer service adviser
4129/99,Finance administrative occupations n.e.c.,Customer service adviser
4111/01,National government benefits officers,Customer service adviser
4111/99,National government administrative occupations n.e.c.,Customer service adviser
4111/02,National government revenue officers,Customer service adviser
4132/02,Insurance administrators,Customer service adviser
4112/02,Local government housing assistants,Customer service adviser
4112/01,Local government benefits officers,Customer service adviser
4112/99,Local government administrative occupations n.e.c.,Customer service adviser
7111/00,Sales and retail and assistants,Customer service adviser
7219/99,Customer service occupations n.e.c.,Customer service adviser
2422/02,Financial advisers and planners,Financial service adviser
3552/00,Business sales executives,Home service adviser
4216/00,Receptionists,Service adviser
7219/99,Customer service occupations n.e.c.,Service adviser
4112/99,Local government administrative occupations n.e.c.,Cultural services adviser
4123/01,Bank and building society clerks,Customer services adviser
4123/01,Bank and building society clerks,Customer services adviser
7111/00,Sales and retail and assistants,Customer services adviser
7219/99,Customer service occupations n.e.c.,Customer services adviser
2422/02,Financial advisers and planners,Financial services adviser
2431/02,Management advisers and consultants,Management services adviser
3229/09,Student support workers,Student services adviser
3582/03,Occupational health and safety managers and officers,SHEQ adviser
2323/01,Educational advisers ,Academic skills adviser
3229/05,Health advisers,Stop smoking adviser
2433/05,Statisticians ,Statistical adviser
3229/09,Student support workers,Student adviser
3222/99,Child and early years officers n.e.c.,Parent support adviser
2133/06,IT solutions architects and designers,Systems adviser
2423/00,Taxation experts,Tax adviser
2423/00,Taxation experts,Taxation adviser
2323/01,Educational advisers ,Early years teaching adviser
2421/99,Chartered and certified accountants n.e.c.,Technical adviser
3132/00,IT user support technicians,Technical adviser
3552/00,Business sales executives,Technical adviser
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Technical adviser
2422/99,Finance and investment analysts and advisers n.e.c.,Technical adviser
3113/99,Engineering technicians n.e.c.,Technical adviser
4123/01,Bank and building society clerks,Telebanking adviser
7113/00,Telephone salespersons,Telemarketing adviser
7211/00,Call and contact centre occupations,Telephone adviser
7113/00,Telephone salespersons,Telesales adviser
2129/09,Materials engineers,Textile adviser
3582/99,Health and safety managers and officers n.e.c.,Toxicology adviser
3549/99,Business associate professionals n.e.c.,Traffic adviser
2323/01,Educational advisers ,Teacher training adviser
3574/99,Other vocational and industrial trainers n.e.c.,Training adviser
3549/99,Business associate professionals n.e.c.,Transport adviser
6214/99,Rail travel assistants n.e.c.,Retail travel adviser
6212/00,Travel agents,Travel adviser
2423/00,Taxation experts,Vat adviser
3229/10,Victim support workers,Independent domestic violence adviser
2422/02,Financial advisers and planners,Personal wealth adviser
3229/99,Welfare and housing associate professionals n.e.c.,Welfare adviser
2323/01,Educational advisers ,Early years adviser
2112/01,Agricultural scientists,Adviser
2419/99,Legal professionals n.e.c.,Adviser
3554/01,Advertising and marketing executives,Adviser
3229/99,Welfare and housing associate professionals n.e.c.,Adviser
4111/01,National government benefits officers,Adviser
2323/01,Educational advisers ,Adviser
