SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
5241/03,Installation and maintenance electricians,Appliance engineer
2134/03,Software developers,Application engineer
2129/99,Engineering professionals n.e.c.,Additive manufacturing applications engineer
}}}}/}},}}}}/}},Applications engineer
}}}}/}},}}}}/}},Applications engineer
2121/99,Civil engineers n.e.c.,Aquaculture engineer
2123/99,Electrical engineers n.e.c.,Area engineer
2124/02,Telecommunications engineers (professional),Area engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Armament engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Assembly engineer
3541/99,"Estimators, valuers and assessors n.e.c.",Assessing engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Assistant engineer
3112/99,Electrical and electronics technicians n.e.c.,Assistant engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Assistant engineer
2121/03,Mining engineers ,Assistant engineer
2123/02,Power systems engineers,Assistant engineer
3113/99,Engineering technicians n.e.c.,Assistant engineer
3113/99,Engineering technicians n.e.c.,Assistant engineer
2121/99,Civil engineers n.e.c.,Assistant engineer
}}}}/}},}}}}/}},Assistant engineer
3113/99,Engineering technicians n.e.c.,Assistant engineer
3512/02,Marine engineers,Assistant engineer
5250/00,"Skilled metal, electrical and electronic trades supervisors",Assistant engineer
2121/03,Mining engineers ,Flow assurance engineer
2136/00,IT quality and testing professionals,Quality assurance engineer
2481/99,Quality control and planning engineers n.e.c.,Quality assurance engineer
3417/05,Sound engineers,Audio engineer
5243/00,"TV, video and audio servicers and repairers",Audio engineer
3120/02,BIM and CAD technicians,Autocad engineer
2125/03,Industrial and production engineers,Automation engineer
5223/01,Automation maintenance technicians,Automation engineer
2122/01,Automotive engineers (professional),Automobile engineer
5231/02,Car/light vehicle technicians,Automobile engineer
2122/01,Automotive engineers (professional),Automotive engineer
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Automotive engineer
5243/00,"TV, video and audio servicers and repairers",AV engineer
2126/99,Aerospace engineers n.e.c.,Aviation engineer
5234/00,Aircraft maintenance and related trades ,Aviation engineer
2126/03,Avionics engineers,Avionics engineer
5223/03,Catering equipment technicians,Bakery engineer
5235/00,Boat and ship builders and repairers,Barge engineer
8139/99,Plant and machine operatives n.e.c.,Battery engineer
2129/08,Heating and ventilating engineers (professional),Biomass engineer
5315/00,Plumbers and heating and ventilation installers and repairers,Biomass engineer
2129/02,Biomedical engineers ,Biomedical engineer
3113/99,Engineering technicians n.e.c.,Bms engineer
8133/01,Boiler operatives,Boiler engineer
8133/01,Boiler operatives,Boilerhouse engineer
2121/03,Mining engineers ,Boring engineer
8132/99,Mining and quarry workers and related operatives n.e.c.,Boring engineer
2121/01,Building and building services engineers,Borough engineer
2123/02,Power systems engineers,Branch engineer
5231/07,Roadside assistance technicians,Vehicle breakdown engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Brewer's engineer
5242/00,Telecoms and related network installers and repairers,Broadband engineer
